Id problem,Weights,Prices,Capacity,Best picks,Best price,Average Weights,Average Prices,Cost function,Constraint,Problem
1,"[46, 40, 42, 38, 10]","[12, 19, 19, 15, 8]",40,"[0, 1, 0, 0, 1]",22.249999999821938,35.2,14.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [46, 40, 42, 38, 10], 'prices': [12, 19, 19, 15, 8], 'capacity': 40}"
2,"[11, 31, 4, 6, 7]","[2, 8, 18, 16, 3]",64,"[1, 1, 1, 1, 1]",47.0,11.8,9.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [11, 31, 4, 6, 7], 'prices': [2, 8, 18, 16, 3], 'capacity': 64}"
3,"[32, 49, 27, 37, 24]","[19, 16, 16, 4, 1]",87,"[1, 1, 1, 0, 0]",44.14285714285725,33.8,11.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [32, 49, 27, 37, 24], 'prices': [19, 16, 16, 4, 1], 'capacity': 87}"
4,"[20, 35, 22, 23, 16]","[19, 17, 19, 9, 1]",21,"[1, 0, 0, 0, 0]",19.86363636375266,23.2,13.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [20, 35, 22, 23, 16], 'prices': [19, 17, 19, 9, 1], 'capacity': 21}"
5,"[7, 12, 19, 13, 20]","[10, 11, 18, 15, 5]",50,"[1, 1, 1, 1, 0]",53.083333333336974,14.2,11.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [7, 12, 19, 13, 20], 'prices': [10, 11, 18, 15, 5], 'capacity': 50}"
6,"[27, 10, 25, 25, 7]","[13, 19, 7, 16, 3]",66,"[1, 1, 0, 1, 1]",49.71428571434104,18.8,11.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [27, 10, 25, 25, 7], 'prices': [13, 19, 7, 16, 3], 'capacity': 66}"
7,"[21, 2, 33, 45, 26]","[1, 14, 10, 6, 13]",80,"[0, 1, 1, 0, 1]",39.53333333330664,25.4,8.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [21, 2, 33, 45, 26], 'prices': [1, 14, 10, 6, 13], 'capacity': 80}"
8,"[37, 27, 39, 14, 25]","[18, 7, 15, 4, 13]",35,"[0, 0, 0, 0, 1]",17.864864864833805,28.4,11.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [37, 27, 39, 14, 25], 'prices': [18, 7, 15, 4, 13], 'capacity': 35}"
9,"[1, 48, 4, 23, 39]","[9, 4, 10, 16, 12]",51,"[1, 0, 1, 1, 1]",42.0769230768792,23.0,10.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [1, 48, 4, 23, 39], 'prices': [9, 4, 10, 16, 12], 'capacity': 51}"
10,"[4, 3, 22, 9, 32]","[14, 6, 3, 17, 8]",53,"[1, 1, 0, 1, 1]",45.68181818172931,14.0,9.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [4, 3, 22, 9, 32], 'prices': [14, 6, 3, 17, 8], 'capacity': 53}"
11,"[11, 10, 25, 34, 13]","[16, 3, 4, 18, 3]",98,"[1, 1, 1, 1, 1]",44.0,18.6,8.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [11, 10, 25, 34, 13], 'prices': [16, 3, 4, 18, 3], 'capacity': 98}"
12,"[18, 47, 20, 9, 39]","[7, 4, 17, 19, 3]",67,"[1, 0, 1, 1, 0]",44.70212765947528,26.6,10.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [18, 47, 20, 9, 39], 'prices': [7, 4, 17, 19, 3], 'capacity': 67}"
13,"[34, 46, 20, 45, 3]","[6, 6, 10, 2, 14]",92,"[1, 1, 1, 0, 1]",34.56521739127318,29.6,7.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [34, 46, 20, 45, 3], 'prices': [6, 6, 10, 2, 14], 'capacity': 92}"
14,"[28, 21, 7, 48, 47]","[3, 19, 1, 15, 18]",82,"[0, 1, 0, 0, 1]",41.37499999996231,30.2,11.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [28, 21, 7, 48, 47], 'prices': [3, 19, 1, 15, 18], 'capacity': 82}"
15,"[27, 18, 11, 32, 47]","[10, 4, 12, 4, 1]",18,"[0, 0, 1, 0, 0]",14.592592592577446,27.0,6.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [27, 18, 11, 32, 47], 'prices': [10, 4, 12, 4, 1], 'capacity': 18}"
16,"[36, 41, 1, 46, 40]","[17, 6, 1, 10, 8]",42,"[1, 0, 1, 0, 0]",19.086956521723348,32.8,8.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [36, 41, 1, 46, 40], 'prices': [17, 6, 1, 10, 8], 'capacity': 42}"
17,"[42, 24, 41, 28, 31]","[16, 15, 12, 19, 1]",44,"[0, 1, 0, 1, 0]",28.999999999980005,33.2,12.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [42, 24, 41, 28, 31], 'prices': [16, 15, 12, 19, 1], 'capacity': 44}"
18,"[10, 37, 24, 25, 41]","[1, 6, 19, 9, 1]",92,"[1, 1, 1, 1, 0]",34.599999999985,27.4,7.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [10, 37, 24, 25, 41], 'prices': [1, 6, 19, 9, 1], 'capacity': 92}"
